Group name;League ID;Description;Session ID;Types;Session end (Local timezone);Session end date (Local timezone);Session end date (UTC);Session end time (Local timezone);Session end time (UTC);Session end (UTC);Session begin (Local timezone);Session begin date (Local timezone);Session begin date (UTC);Session begin time (Local timezone);Session begin time (UTC);Session begin (UTC);Distance (m);Distance (speed | very slow) (m);Distance (speed | slow) (m);Distance (speed | moderate) (m);Distance (speed | fast) (m);Distance (speed | very fast) (m);Distance (speed | sprint) (m);Distance / min (m);Distance / min (speed | very slow) (m);Distance / min (speed | slow) (m);Distance / min (speed | moderate) (m);Distance / min (speed | fast) (m);Distance / min (speed | very fast) (m);Distance / min (speed | sprint) (m);Duration (s);Position;Speed (Ø) (km/h);Speed (max.) (km/h);Speed (% of max.) (%);Time on Ice (s);Time (s);Time (speed | very slow) (s);Time (speed | slow) (s);Time (speed | moderate) (s);Time (speed | fast) (s);Time (speed | very fast) (s);Time (speed | sprint) (s);Accumulated Acceleration Load;Acceleration Load (load | very low);Acceleration Load (load | low);Acceleration Load (load | medium);Acceleration Load (load | high);Acceleration Load (load | very high);Acceleration Load (load | near max);Acceleration Load (load | max);Accumulated Acceleration Load / min;Acceleration Load / min;Acceleration Load (max.);Acceleration Load (time | high) (s);Acceleration Load (time | low) (s);Acceleration Load (time | max) (s);Acceleration Load (time | medium) (s);Acceleration Load (time | near max) (s);Acceleration Load (time | very high) (s);Acceleration Load (time | very low) (s);Acceleration (max.) (m/s²);Deceleration (max.) (m/s²);Anaerobic Activity (distance) (m);Anaerobic Activity (time) (s);High Speed and Acceleration Distance (m);High Speed and Acceleration Distance / min (m);High Metabolic Power Distance (m);High Metabolic Power Distance / min (m);High Speed and Acceleration Time (s);Accels Load;Accel 1;Accel 2;Accel 3;Accel 4;Accels Load / min;Accel 1 / min;Accel 2 / min;Accel 3 / min;Accel 4 / min;Decels Load;Decel 1;Decel 2;Decel 3;Decel 4;Decels Load / min;Decel 1 / min;Decel 2 / min;Decel 3 / min;Decel 4 / min;Mechanical Intensity;Mechanical Intensity (def.);Mechanical Intensity (off.);Mechanical Load;Mechanical Load (def.);Mechanical Load (off.);Metabolic Power (Ø) (W);Metabolic Power (max.) (W);Metabolic Power per mass (Ø) (W/kg);Metabolic Power per mass (max.) (W/kg);Metabolic Power (time | high) (s);Metabolic Power (time | low) (s);Metabolic Power (time | medium) (s);Metabolic Power (time | very high) (s);Metabolic Power (time | very low) (s);Metabolic Work (kcal);Metabolic Work / min (kcal);Physio Intensity;Physio Load;Heart Rate Recoveries;Heart Rate Recoveries / min;Heart Rate (Ø) (bpm);Heart Rate (max.) (bpm);Heart Rate (min.) (bpm);Heart rate (% of max.) (%);Heart Rate (% of HRR) (%);Heart Rate (time | 0 - 50%) (s);Heart Rate (time | 50 - 60%) (s);Heart Rate (time | 60 - 70%) (s);Heart Rate (time | 70 - 80%) (s);Heart Rate (time | 80 - 90%) (s);Heart Rate (time | ? 90%) (s);Human Core Temperature (Ø) (°C);Human Core Temperature (max.) (°C);Activation Gluteus (total);Activation Hamstrings (total);Muscle Load (total);Activation Quadrizeps (total);TRIMP;Accelerations;Accelerations (low);Accelerations (medium);Accelerations (high);Accelerations (very high);Accelerations (near max);Accelerations (max);Accelerations / min;Accelerations / min (low);Accelerations / min (medium);Accelerations / min (high);Accelerations / min (very high);Accelerations / min (near max);Accelerations / min (max);Changes of Direction;Changes of Direction (left);Changes of Direction (right);Changes of Direction / min;Changes of Direction / min (left);Changes of Direction / min (right);Changes of Orientation;Changes of Orientation / min;Changes of Pace;Changes of Pace (low);Changes of Pace (medium);Changes of Pace (high);Changes of Pace (very high);Changes of Pace / min;Changes of Pace / min (low);Changes of Pace / min (medium);Changes of Pace / min (high);Changes of Pace / min (very high);Decelerations;Decelerations (low);Decelerations (medium);Decelerations (high);Decelerations (very high);Decelerations / min;Decelerations / min (low);Decelerations / min (medium);Decelerations / min (high);Decelerations / min (very high);Down on Pads;Down on Pads / min;Exertions;Exertions (low);Exertions (medium);Exertions (high);Exertions (very high);Exertions / min;Exertions / min (low);Exertions / min (medium);Exertions / min (high);Exertions / min (very high);Impacts;Impacts / min;Shifts;Shifts / min;Skating Transitions;Skating Transitions (left);Skating Transitions (right);Skating Transitions / min;Skating Transitions / min (left);Skating Transitions / min (right);Speed Zone Entries;Speed Zone Entries (very slow);Speed Zone Entries (slow);Speed Zone Entries (moderate);Speed Zone Entries (fast);Speed Zone Entries (very fast);Speed Zone Entries (sprint);Speed Zone Entries / min;Speed Zone Entries / min (very slow);Speed Zone Entries / min (slow);Speed Zone Entries / min (moderate);Speed Zone Entries / min (fast);Speed Zone Entries / min (very fast);Speed Zone Entries / min (sprint);Sprints;Sprints (low);Sprints (medium);Sprints (high);Sprints (very high);Sprints (near max);Sprints / min;Sprints / min (low);Sprints / min (medium);Sprints / min (high);Sprints / min (very high);Sprints / min (near max);Turns;Sharp Turns;Wide Turns;Turns / min;Sharp Turns / min;Wide Turns / min
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;4935;417;366;568;1287;1217;1080;277;23;21;32;72;68;61;8836;F;16,6;32,87;66;1070;1070;232;104;134;246;201;155;231,85;12,24;27,41;40,27;44,84;43,06;27,75;36,28;12,99;2,17;8,39;195;186;106;210;91;166;115;4,16;-6,59;234;51;3104;174;3228;181;550;529,64;195,59;202,78;124;7,27;29,69;10,96;11,37;6,95;0,41;248,73;73,62;52,23;87,13;35,76;13,94;4,13;2,93;4,88;2;43,63;;;778,38;0;0;437,5;2034,4;5,27;24,51;353;186;257;195;79;111,75;6,26;53,5;953,9;0;0;;;;0;0;;;;;;;;;;;;;0;81;75;5;1;0;0;0;4,54;4,2;0,28;0,06;0;0;0;30;11;19;1,68;0,62;1,06;15;0,84;20;20;0;0;0;1,12;1,12;0;0;0;81;10;14;22;35;4,54;0,56;0,78;1,23;1,96;0;0;40;0;0;0;40;2,24;0;0;0;2,24;4;0,22;24;1,35;47;24;23;2,63;1,35;1,29;161;0;17;17;30;39;58;9,02;0;0,95;0,95;1,68;2,19;3,25;73;28;32;9;4;0;4,09;1,57;1,79;0,5;0,22;0;74;9;65;4,15;0,5;3,64
Defense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;4771;1033;848;1055;1127;416;292;205;44;36;45;48;18;13;8836;D;12,3;31,66;63;1396;1396;530;253;278;224;75;36;194,89;43,74;47,66;42,3;26,8;19,78;9,63;4,98;8,38;1,37;10,04;132;369;16;266;38;80;495;4,35;-5,49;24;8;1170;50;1499;64;206;469,43;194,62;152,03;110,43;12,36;20,18;8,37;6,53;4,75;0,53;212,96;89,13;50,21;56,77;16,85;9,15;3,83;2,16;2,44;0,72;29,33;;;682,39;0;0;350,05;1871,57;3,93;21,03;238;482;445;113;117;110,36;4,74;42,5;988,8;0;0;;;;0;0;;;;;;;;;;;;;0;53;49;4;0;0;0;0;2,28;2,11;0,17;0;0;0;0;19;9;10;0,82;0,39;0,43;5;0,21;18;18;0;0;0;0,77;0,77;0;0;0;53;10;12;9;22;2,28;0,43;0,52;0,39;0,95;0;0;9;0;0;0;9;0,39;0;0;0;0,39;2;0,09;29;1,25;78;48;30;3,35;2,06;1,29;169;0;31;58;45;25;10;7,26;0;1,33;2,49;1,93;1,07;0,43;20;7;9;3;1;0;0,86;0,3;0,39;0,13;0,04;0;53;10;43;2,28;0,43;1,85
Defense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;3498;620;468;552;847;512;500;224;40;30;35;54;33;32;8836;F;13,46;32,51;65;936;936;340;136;135;167;85;73;155,15;22,77;32,38;33,04;25,82;19,1;12,95;9,09;9,95;1,63;6,09;128;237;29;188;46;77;231;3,94;-5,76;41;11;1548;99;1689;108;295;480,4;139,98;165,81;161,03;13,58;30,81;8,98;10,63;10,33;0,87;226,35;66,93;61,44;65,98;32;14,52;4,29;3,94;4,23;2,05;45,32;;;706,75;0;0;352,98;1801,29;4,47;22,8;178;264;249;134;110;77,56;4,97;41,3;643,6;0;0;;;;0;0;;;;;;;;;;;;;0;72;65;7;0;0;0;0;4,62;4,17;0,45;0;0;0;0;23;13;10;1,48;0,83;0,64;7;0,45;25;24;1;0;0;1,6;1,54;0,06;0;0;66;13;10;15;28;4,23;0,83;0,64;0,96;1,8;0;0;10;0;0;0;10;0,64;0;0;0;0,64;4;0,26;17;1,09;75;27;48;4,81;1,73;3,08;149;0;21;29;30;29;40;9,56;0;1,35;1,86;1,92;1,86;2,57;39;12;17;9;1;0;2,5;0,77;1,09;0,58;0,06;0;63;17;46;4,04;1,09;2,95
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;21;7;3;11;0;0;0;132;45;20;67;0;0;0;8836;F;7,92;15,27;31;9;9;6;1;2;0;0;0;0,64;0,47;0,09;0,08;0;0;0;0;4,06;0,66;1,56;0;2;0;0;0;0;7;-0,03;-1,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,02;0,87;1,15;0;0;12,84;5,53;7,31;0;0;12,84;;;2,02;0;0;157,98;319,99;1,86;3,76;0;6;1;0;2;0,2;1,24;26,1;4,1;0;0;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;6,35;6,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6,35;0;0;6,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Defense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;5223;896;733;822;1197;776;799;211;36;30;33;48;31;32;8836;D;12,66;32,65;65;1485;1485;570;221;205;241;134;114;236,33;38,36;40,82;46,83;36,43;29,56;23,24;21,08;9,55;1,62;6,45;169;310;67;266;83;118;471;3,93;-7,2;129;28;2294;93;2555;103;435;648,89;243,93;220,12;175,15;9,7;26,22;9,86;8,89;7,08;0,39;304,67;104,74;70,38;93,31;36,24;12,31;4,23;2,84;3,77;1,46;38,53;;;953,56;0;0;381,59;1693,68;4,15;18,41;317;377;413;161;217;129,36;5,23;45,2;1119,1;0;0;;;;0;0;;;;;;;;;;;;;0;104;99;5;0;0;0;0;4,2;4;0,2;0;0;0;0;22;7;15;0,89;0,28;0,61;12;0,48;26;26;0;0;0;1,05;1,05;0;0;0;102;17;17;25;43;4,12;0,69;0,69;1,01;1,74;0;0;23;0;0;0;23;0,93;0;0;0;0,93;1;0,04;29;1,17;89;46;43;3,6;1,86;1,74;186;0;33;44;44;35;30;7,52;0;1,33;1,78;1,78;1,41;1,21;46;17;16;12;1;0;1,86;0,69;0,65;0,48;0,04;0;81;7;74;3,27;0,28;2,99
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;3174;521;417;365;659;701;512;231;38;30;27;48;51;37;8836;F;13,89;31,03;62;823;823;295;122;86;129;116;75;160,16;13,36;17,66;25,34;34,62;33,83;20,42;14,92;11,68;1,95;8,05;154;113;45;133;69;134;174;3,9;-6,22;56;16;1680;122;1764;129;321;404,66;133,69;143,93;122,18;4,85;29,51;9,75;10,5;8,91;0,35;196,44;58,17;39,14;64,47;34,67;14,32;4,24;2,85;4,7;2,53;43,83;;;601,1;0;0;381,82;1462,73;4,55;17,41;185;218;201;124;94;74,57;5,44;45,3;621;0;0;;;;0;0;;;;;;;;;;;;;0;67;64;3;0;0;0;0;4,89;4,67;0,22;0;0;0;0;18;9;9;1,31;0,66;0,66;7;0,51;22;22;0;0;0;1,6;1,6;0;0;0;59;7;6;12;34;4,3;0,51;0,44;0,88;2,48;0;0;15;0;0;0;15;1,09;0;0;0;1,09;3;0,22;17;1,24;35;21;14;2,55;1,53;1,02;114;0;18;15;23;28;30;8,31;0;1,31;1,09;1,68;2,04;2,19;43;18;18;6;1;0;3,14;1,31;1,31;0,44;0,07;0;41;4;37;2,99;0,29;2,7
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;4759;630;486;812;1180;840;810;243;32;25;41;60;43;41;8836;F;14,56;33,45;67;1177;1177;360;140;192;230;138;116;213,18;23,92;35,27;41,25;37,66;27,66;19,69;27,73;10,87;1,81;6,82;174;249;83;221;70;103;277;3,9;-6,36;143;41;2275;116;2489;127;424;562,16;184,71;191,27;181,82;4,36;28,66;9,42;9,75;9,27;0,22;271,6;94,85;61,56;78,83;36,36;13,85;4,84;3,14;4,02;1,85;42,51;;;833,75;0;0;428,05;3088,86;4,6;33,21;289;293;320;155;120;121,51;6,2;52,5;1030,6;0;0;;;;0;0;;;;;;;;;;;;;0;80;79;1;0;0;0;0;4,08;4,03;0,05;0;0;0;0;15;9;6;0,76;0,46;0,31;17;0,87;35;35;0;0;0;1,78;1,78;0;0;0;78;12;21;13;32;3,98;0,61;1,07;0,66;1,63;0;0;35;0;0;0;35;1,78;0;0;0;1,78;9;0,46;26;1,33;137;20;117;6,99;1,02;5,97;172;0;12;36;45;35;44;8,77;0;0,61;1,84;2,29;1,78;2,24;53;19;20;11;3;0;2,7;0,97;1,02;0,56;0,15;0;51;7;44;2,6;0,36;2,24
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;2621;493;337;434;665;450;241;215;40;28;36;55;37;20;8836;F;12,89;34,1;68;732;732;293;100;102;128;73;35;149,44;13,86;21,66;22,51;20,19;18,75;17,79;34,67;12,25;2,04;8,52;89;153;98;124;60;74;133;3,77;-6,89;151;44;1169;96;1279;105;234;375,27;103,27;111,75;152,97;7,27;30,77;8,47;9,16;12,54;0,6;179,77;48,78;45,15;57,83;28;14,74;4;3,7;4,74;2,3;45,5;;;555,03;0;0;396,17;2091,75;4,31;22,74;144;218;165;104;101;67,59;5,54;46;561,6;0;0;;;;0;0;;;;;;;;;;;;;0;60;49;11;0;0;0;0;4,92;4,02;0,9;0;0;0;0;19;11;8;1,56;0,9;0,66;12;0,98;24;24;0;0;0;1,97;1,97;0;0;0;55;12;11;9;23;4,51;0,98;0,9;0,74;1,89;0;0;36;0;0;0;36;2,95;0;0;0;2,95;5;0,41;14;1,15;42;19;23;3,44;1,56;1,89;113;0;21;19;32;23;18;9,26;0;1,72;1,56;2,62;1,89;1,48;22;11;7;2;2;0;1,8;0,9;0,57;0,16;0,16;0;30;5;25;2,46;0,41;2,05
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;4039;527;504;764;1203;676;366;234;31;29;44;70;39;21;8836;F;14,07;32,78;66;1034;1034;300;149;184;234;113;53;174,02;23,51;32,25;38,68;32,47;23,86;14,14;9,12;10,1;1,69;6,28;157;224;33;212;52;104;252;4,27;-6,48;28;9;1672;97;2047;119;324;479,95;169,28;163,69;137,51;9,45;27,86;9,83;9,5;7,98;0,55;233,38;78,3;57,83;72,71;24,55;13,55;4,54;3,36;4,22;1,42;41,4;;;713,33;0;0;375,23;1639,1;4,47;19,51;253;246;307;126;102;93,18;5,41;45,9;790,2;0;0;;;;0;0;;;;;;;;;;;;;0;79;73;6;0;0;0;0;4,59;4,24;0,35;0;0;0;0;20;9;11;1,16;0,52;0,64;4;0,23;31;30;1;0;0;1,8;1,74;0,06;0;0;72;13;17;17;25;4,18;0,75;0,99;0,99;1,45;0;0;7;0;0;0;7;0,41;0;0;0;0,41;0;0;20;1,16;48;19;29;2,79;1,1;1,68;148;0;14;39;34;38;23;8,59;0;0,81;2,26;1,97;2,21;1,34;33;15;12;4;2;0;1,92;0,87;0,7;0,23;0,12;0;83;10;73;4,82;0,58;4,24
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;2595;329;214;298;675;543;536;256;32;21;29;67;53;53;8836;F;15,34;31,69;63;609;609;183;62;70;130;88;77;121,35;10,41;15,94;18,62;22,35;17,67;15,45;20,91;11,96;1,99;9,09;97;102;62;105;51;67;126;3,53;-6,64;93;26;1461;144;1465;144;260;279,6;99,36;99,15;81,09;0;27,55;9,79;9,77;7,99;0;133,86;47,75;29,48;38,02;18,61;13,19;4,7;2,9;3,75;1,83;40,73;;;413,46;0;0;438,2;1854,08;4,82;20,37;158;139;160;92;60;63,35;6,24;54,2;549,9;0;0;;;;0;0;;;;;;;;;;;;;0;47;46;1;0;0;0;0;4,63;4,53;0,1;0;0;0;0;10;4;6;0,99;0,39;0,59;9;0,89;16;15;1;0;0;1,58;1,48;0,1;0;0;40;7;5;7;21;3,94;0,69;0,49;0,69;2,07;0;0;23;0;0;0;23;2,27;0;0;0;2,27;2;0,2;14;1,38;37;12;25;3,65;1,18;2,46;89;0;9;8;18;22;32;8,77;0;0,89;0,79;1,77;2,17;3,15;37;14;17;5;1;0;3,65;1,38;1,67;0,49;0,1;0;23;0;23;2,27;0;2,27
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;2278;273;231;375;663;347;390;251;30;25;41;73;38;43;8836;F;15,04;32,79;66;545;545;144;68;88;131;60;55;105,41;11,38;14,42;16,03;16,57;19,21;16,6;11,2;11,6;1,94;8,48;77;98;33;92;58;75;112;4,54;-5,33;37;10;1134;125;1263;139;214;293,42;87,82;92,39;95,51;17,7;32,29;9,66;10,17;10,51;1,95;136,11;36,94;32,27;43,63;23,27;14,98;4,07;3,55;4,8;2,56;47,27;;;429,53;0;0;462,02;1805,04;4,97;19,41;139;120;151;90;45;59,46;6,54;54,3;493,5;0;0;;;;0;0;;;;;;;;;;;;;0;50;44;4;2;0;0;0;5,5;4,84;0,44;0,22;0;0;0;15;5;10;1,65;0,55;1,1;5;0,55;17;17;0;0;0;1,87;1,87;0;0;0;45;9;9;9;18;4,95;0,99;0,99;0,99;1,98;0;0;8;0;0;0;8;0,88;0;0;0;0,88;0;0;12;1,32;20;12;8;2,2;1,32;0,88;99;0;18;12;29;19;21;10,9;0;1,98;1,32;3,19;2,09;2,31;24;6;12;4;2;0;2,64;0,66;1,32;0,44;0,22;0;26;1;25;2,86;0,11;2,75
Defense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1286;289;211;284;279;143;80;187;42;31;41;41;21;12;1736;D;11,23;28,83;58;412;412;187;62;71;56;24;12;72,41;10,58;14,07;14,64;9,48;7,81;6,12;9,71;10,53;1,75;6,37;48;103;28;86;22;32;93;4,43;-5,37;38;12;422;61;568;83;97;205,03;68,6;61,88;64,85;9,7;29,83;9,98;9;9,43;1,41;107,8;27,7;26,23;39,57;14,3;15,68;4,03;3,82;5,76;2,08;45,51;;;312,82;0;0;344,32;1670,98;3,74;18,16;73;122;102;38;76;34,68;5,05;40,1;275,6;0;0;;;;0;0;;;;;;;;;;;;;0;31;28;3;0;0;0;0;4,51;4,07;0,44;0;0;0;0;11;5;6;1,6;0,73;0,87;5;0,73;15;15;0;0;0;2,18;2,18;0;0;0;40;6;12;6;16;5,82;0,87;1,75;0,87;2,33;0;0;10;0;0;0;10;1,45;0;0;0;1,45;1;0,15;11;1,6;24;15;9;3,49;2,18;1,31;59;0;12;15;18;8;6;8,58;0;1,75;2,18;2,62;1,16;0,87;7;3;3;1;0;0;1,02;0,44;0,44;0,15;0;0;11;3;8;1,6;0,44;1,16
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1022;77;50;64;236;312;283;281;21;14;18;65;86;78;1736;F;16,85;32,02;64;218;218;53;15;16;46;51;39;46,4;2,69;4,6;9,08;10,44;7,96;6,53;5,11;12,76;2,16;4,92;47;30;17;44;22;32;25;3,32;-5,32;37;6;729;200;690;190;125;107,73;34,09;38,24;35,39;0;29,62;9,37;10,51;9,73;0;52,87;16,06;12,09;17,09;7,64;14,54;4,41;3,32;4,7;2,1;44,15;;;160,6;0;0;482,83;1509,18;5,36;16,77;67;32;52;42;26;25,25;6,94;58,9;214,1;0;0;;;;0;0;;;;;;;;;;;;;0;19;19;0;0;0;0;0;5,22;5,22;0;0;0;0;0;3;1;2;0,82;0,27;0,55;1;0,27;7;7;0;0;0;1,92;1,92;0;0;0;18;4;3;0;11;4,95;1,1;0,82;0;3,02;0;0;6;0;0;0;6;1,65;0;0;0;1,65;0;0;7;1,92;12;4;8;3,3;1,1;2,2;27;0;1;2;3;9;12;7,42;0;0,27;0,55;0,82;2,47;3,3;20;8;6;5;1;0;5,5;2,2;1,65;1,37;0,27;0;17;3;14;4,67;0,82;3,85
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1379;132;95;186;355;340;271;264;25;18;36;68;65;52;1736;F;15,84;33,77;68;313;313;81;26;44;68;57;37;61,36;4,97;9,12;12,95;12,34;11,3;6,52;4,16;11,75;1,97;5,89;54;61;13;70;25;48;43;4,35;-5,8;24;6;829;159;857;164;153;162,21;53,06;59,57;42,3;7,27;31,06;10,16;11,41;8,1;1,39;81,31;22,04;17,58;24,84;16,85;15,57;4,22;3,37;4,76;3,23;46,63;;;243,52;0;0;438,67;1772,83;5,04;20,38;91;60;79;54;30;32,89;6,3;53,5;279,3;0;0;;;;0;0;;;;;;;;;;;;;0;31;27;3;1;0;0;0;5,94;5,17;0,57;0,19;0;0;0;2;1;1;0,38;0,19;0,19;2;0,38;9;9;0;0;0;1,72;1,72;0;0;0;24;2;1;8;13;4,6;0,38;0,19;1,53;2,49;0;0;5;0;0;0;5;0,96;0;0;0;0,96;0;0;7;1,34;18;13;5;3,45;2,49;0,96;44;0;1;7;10;13;13;8,43;0;0,19;1,34;1,91;2,49;2,49;17;9;5;2;1;0;3,26;1,72;0,96;0,38;0,19;0;16;1;15;3,06;0,19;2,87
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1274;198;166;278;353;183;96;227;35;30;50;63;33;17;1736;F;13,63;28,16;56;337;337;109;48;65;68;31;16;70,99;5,48;9,39;11,12;14,09;12,32;8,08;10,52;12,65;2,11;10,62;64;65;29;56;30;45;48;3,67;-6,21;58;15;536;96;656;117;112;178,6;53,33;57,63;65,94;1,7;31,83;9,51;10,27;11,75;0,3;90,13;23,16;20,85;28,66;17,45;16,06;4,13;3,72;5,11;3,11;47,89;;;268,73;0;0;368,14;1377,48;4,49;16,8;81;90;90;42;34;29,62;5,28;43,4;243,3;0;0;;;;0;0;;;;;;;;;;;;;0;33;30;3;0;0;0;0;5,88;5,35;0,53;0;0;0;0;6;4;2;1,07;0,71;0,36;5;0,89;15;15;0;0;0;2,67;2,67;0;0;0;33;6;7;5;15;5,88;1,07;1,25;0,89;2,67;0;0;9;0;0;0;9;1,6;0;0;0;1,6;5;0,89;6;1,07;20;11;9;3,56;1,96;1,6;52;0;4;11;21;10;6;9,27;0;0,71;1,96;3,74;1,78;1,07;12;7;4;1;0;0;2,14;1,25;0,71;0,18;0;0;17;3;14;3,03;0,53;2,5
Defense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;286;56;24;30;50;80;46;238;47;20;25;42;66;38;1736;D;14,27;27,38;55;72;72;29;7;7;10;12;6;15,57;1,11;1,55;2,25;3,16;2,36;2,17;2,95;12,95;2,15;4,89;13;12;9;12;8;8;10;3,49;-4,98;8;2;180;150;165;138;32;46,03;9,27;14,09;22,67;0;38,3;7,72;11,73;18,86;0;18,45;4,18;4,76;6,12;3,39;15,36;3,48;3,96;5,09;2,82;53,66;;;64,48;0;0;355,96;1459,4;4,88;19,99;14;21;13;15;10;6,18;5,14;40,4;48,6;0;0;;;;0;0;;;;;;;;;;;;;0;9;8;1;0;0;0;0;7,49;6,66;0,83;0;0;0;0;3;1;2;2,5;0,83;1,66;1;0,83;3;3;0;0;0;2,5;2,5;0;0;0;7;1;0;1;5;5,83;0,83;0;0,83;4,16;0;0;2;0;0;0;2;1,66;0;0;0;1,66;1;0,83;2;1,66;8;3;5;6,66;2,5;4,16;12;0;3;1;1;4;3;9,99;0;2,5;0,83;0,83;3,33;2,5;5;2;3;0;0;0;4,16;1,66;2,5;0;0;0;2;0;2;1,66;0;1,66
